transaction_id,transaction_date,transaction_type,document_no,business_name,branch,sales_channel,customer_type,customer_id,supplier_name,product_category,product_name,quantity,unit_price_kes,discount_pct,gross_sales_kes,net_sales_kes,unit_cost_kes,cogs_kes,gross_profit_kes,expense_category,expense_amount_kes,cash_in_kes,cash_out_kes,amount_received_kes,accounts_receivable_change_kes,accounts_payable_change_kes,inventory_qty_change,inventory_value_change_kes,payment_method,salesperson_or_staff,manual_entry_flag
TXN-00746,2025-07-31,SALE,INV-2507-0746,Rongai Home & Agro Supplies,Kiserian,Phone Order,Retail,CUS-1122,,Building Materials,Cement 50kg,7,789.93,0.02,5529.51,5418.92,661.67,4631.69,787.23,,0,5418.92,0,5418.92,-0.0,0,-7,-4631.69,,DK,0
TXN-01415,2026-01-24,SALE,INV-2601-1415,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Contractor,CUS-1055,,Plumbing,PVC Elbow 20mm,5,71.55,0.074,357.75,331.28,46.35,231.75,99.53,,0,331.28,0,331.28,-0.0,0,-5,-231.75,,CN,0
TXN-01905,2026-06-10,SALE,INV-2606-1905,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Retail,CUS-1120,,Building Materials,Galvanized Roofing Sheet 3m,1,1173.19,0.05,1173.19,1114.53,991.06,991.06,123.47,,0,1114.53,0,1114.53,-0.0,0,-1,-991.06,,AM,0
TXN-00570,2025-06-09,SALE,INV-2506-0570,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Retail,CUS-1034,,Household,Jerrycan 20L,1,745.7,0.02,745.7,730.79,493.84,493.84,236.95,,0,730.79,0,730.79,-0.0,0,-1,-493.84,,DK,0
TXN-01371,2026-01-10,SALE,INV-2601-1371,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Farmer,CUS-1052,,Hardware,Padlock 50mm,1,691.23,0.08,691.23,635.93,418.77,418.77,217.16,,0,635.93,0,635.93,-0.0,0,-1,-418.77,,JK,0
TXN-00829,2025-08-22,SALE,INV-2508-0829,Rongai Home & Agro Supplies,Ongata Rongai,Walk-in,Retail,CUS-1045,,Animal Feeds,Chicken Feed 10kg,2,924.35,0,1848.7,1848.7,766.71,1533.42,315.28,,0,1848.7,0,1848.7,-0.0,0,-2,-1533.42,,JK,0
TXN-00761,2025-08-05,SALE,INV-2508-0761,Rongai Home & Agro Supplies,Kiserian,Phone Order,Retail,CUS-1029,,Paints,20L Emulsion Paint,1,5019.47,0.01,5019.47,4969.28,3840.08,3840.08,1129.2,,0,4969.28,0,4969.28,-0.0,0,-1,-3840.08,,AM,0
TXN-01632,2026-03-25,SALE,INV-2603-1632,Rongai Home & Agro Supplies,Kiserian,Phone Order,Retail,CUS-1014,,Building Materials,Galvanized Roofing Sheet 3m,5,1131.36,0.01,5656.8,5600.23,923.52,4617.6,982.63,,0,5600.23,0,5600.23,-0.0,0,-5,-4617.6,,AM,0
TXN-01649,2026-03-28,EXPENSE,EXP-2603-1649,Rongai Home & Agro Supplies,Kiserian,Back Office,,,,,,0,0,0,0,0,0,0,0,Repairs,14610,0,14610,0,0,0,0,0,M-PESA,DK,0
TXN-00587,2025-06-14,SALE,INV-2506-0587,Rongai Home & Agro Supplies,Ongata Rongai,Walk-in,Retail,CUS-1151,,Building Materials,Galvanized Roofing Sheet 3m,1,1209.96,0,1209.96,1209.96,864.01,864.01,345.95,,0,1209.96,0,1209.96,-0.0,0,-1,-864.01,,ER,0
TXN-01017,2025-10-11,SALE,INV-2510-1017,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Reseller,CUS-1008,,Animal Feeds,Chicken Feed 10kg,12,1034.74,0.0455,12416.88,11851.91,762.79,9153.48,2698.43,,0,11851.91,0,11851.91,-0.0,0,-12,-9153.48,,BM,0
TXN-00218,2025-03-04,SALE,INV-2503-0218,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Retail,CUS-1029,,Plumbing,25mm PVC Pipe 6m,1,1056.97,0,1056.97,1056.97,796.77,796.77,260.2,,0,1056.97,0,1056.97,-0.0,0,-1,-796.77,,CN,0
TXN-00899,2025-09-10,SALE,INV-2509-0899,Rongai Home & Agro Supplies,Ongata Rongai,Phone Order,Reseller,CUS-1053,,Animal Feeds,Dairy Meal 25kg,3,2601.57,0.0578,7804.71,7353.6,2062.05,6186.15,1167.45,,0,0.0,0,0.0,-7353.6,0,-3,-6186.15,,ER,0
TXN-01543,2026-03-02,SALE,INV-2603-1543,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Reseller,CUS-1106,,Paints,Paint Brush 4in,11,172.2,0.0789,1894.2,1744.75,99.18,1090.98,653.77,,0,697.9,0,697.9,-1046.85,0,-11,-1090.98,,BM,0
TXN-01464,2026-02-06,SALE,INV-2602-1464,Rongai Home & Agro Supplies,Ongata Rongai,M-Pesa Till,Retail,CUS-1005,,Plumbing,25mm PVC Pipe 6m,1,1101.35,0.03,1101.35,1068.31,787.38,787.38,280.93,,0,1068.31,0,1068.31,-0.0,0,-1,-787.38,,JK,0
TXN-00677,2025-07-10,CUSTOMER_PAYMENT,RCPT-2507-0677,Rongai Home & Agro Supplies,Ongata Rongai,Collections,Contractor,CUS-1105,,,,0,0,0,0,0,0,0,0,Customer Collection,0,10450.0,0,10450.0,10450.0,0,0,0,M-PESA,BM,0
TXN-01313,2025-12-26,SALE,INV-2512-1313,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Reseller,CUS-1130,,Animal Feeds,Chicken Feed 10kg,10,1048.39,0.0691,10483.9,9759.46,741.83,7418.3,2341.16,,0,9759.46,0,9759.46,-0.0,0,-10,-7418.3,,AM,0
TXN-01796,2026-05-07,SALE,INV-2605-1796,Rongai Home & Agro Supplies,Kiserian,Phone Order,Farmer,CUS-1064,,Electrical,Switch 1 Gang,1,269.07,0.01,269.07,266.38,160.72,160.72,105.66,,0,266.38,0,266.38,-0.0,0,-1,-160.72,,BM,0
TXN-01005,2025-10-08,SALE,INV-2510-1005,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Farmer,CUS-1107,,Building Materials,2x2 Timber 12ft,1,489.01,0.03,489.01,474.34,382.97,382.97,91.37,,0,474.34,0,474.34,-0.0,0,-1,-382.97,,BM,0
TXN-00439,2025-04-30,PURCHASE,GRN-2504-0439,Rongai Home & Agro Supplies,Ongata Rongai,Supplier,,,AgroLink Kenya,Electrical,Switch 1 Gang,3,144.94,0,0,0,144.94,434.82,0,Purchase,0,152.19,282.63,0,0,0,3,434.82,,CN,0
TXN-00804,2025-08-15,SALE,INV-2508-0804,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Farmer,CUS-1101,,Plumbing,25mm PVC Pipe 6m,1,1038.6,0.08,1038.6,955.51,761.1,761.1,194.41,,0,955.51,0,955.51,-0.0,0,-1,-761.1,,DK,0
TXN-01970,2026-07-01,SALE,INV-2607-1970,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Retail,CUS-1086,,Plumbing,Basin Tap Chrome,1,1450.08,0.01,1450.08,1435.58,1067.03,1067.03,368.55,,0,1435.58,0,1435.58,-0.0,0,-1,-1067.03,,BM,0
TXN-00451,04/05/2025,SALE,INV-2505-0451,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Retail,CUS-1001,,Animal Feeds,Chicken Feed 10kg,1,1042.13,0.08,1042.13,958.76,763.46,763.46,195.3,,0,958.76,0,958.76,-0.0,0,-1,-763.46,,AM,0
TXN-02137,2026-08-17,SALE,INV-2608-2137,Rongai Home & Agro Supplies,Kiserian,Phone Order,Retail,CUS-1103,,Building Materials,2x2 Timber 12ft,1,522.58,0.01,522.58,517.35,424.08,424.08,93.27,,0,517.35,0,517.35,-0.0,0,-1,-424.08,,AM,0
TXN-00965,2025-09-28,SALE,INV-2509-0965,Rongai Home & Agro Supplies,Kiserian,Walk-in,Reseller,CUS-1119,,Building Materials,Galvanized Roofing Sheet 3m,5,1226.08,0.0629,6130.4,5744.8,920.33,4601.65,1143.15,,0,0.0,0,0.0,-5744.8,0,-5,-4601.65,,JK,0
TXN-01392,2026-01-16,SALE,INV-2601-1392,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Retail,CUS-1045,,Building Materials,Binding Wire 25kg,1,3961.67,0.01,3961.67,3922.05,3377.62,3377.62,544.43,,0,3922.05,0,3922.05,-0.0,0,-1,-3377.62,,BM,0
TXN-01209,2025-12-02,SALE,INV-2512-1209,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Retail,CUS-1063,,Household,Jerrycan 20L,1,806.61,0.01,806.61,798.54,513.56,513.56,284.98,,0,798.54,0,798.54,-0.0,0,-1,-513.56,,CN,0
TXN-02226,2025-05-02,SUPPLIER_PAYMENT,SP-2505-2226,Rongai Home & Agro Supplies,Ongata Rongai,Supplier,,,Eastlands Hardware Wholesalers,,,0,0,0,0,0,0,0,0,Supplier Payment,0,0,23696.0,0,0,0,0,0,M-PESA,DK,0
TXN-00066,2025-01-18,CUSTOMER_PAYMENT,RCPT-2501-0066,Rongai Home & Agro Supplies,Kiserian,Collections,Contractor,CUS-1049,,,,0,0,0,0,0,0,0,0,Customer Collection,0,8035.0,0,8035.0,8035.0,0,0,0,Bank Transfer,ER,0
TXN-01937,2026-06-21,SALE,INV-2606-1937,Rongai Home & Agro Supplies,Kiserian,Walk-in,Contractor,CUS-1069,,Electrical,Switch 1 Gang,4,270.87,0.0288,1083.48,1052.28,156.79,627.16,425.12,,0,1052.28,0,1052.28,-0.0,0,-4,-627.16,,CN,0
TXN-00294,2025-03-27,SALE,INV-2503-0294,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Retail,CUS-1154,,Paints,Paint Brush 4in,4,184.34,0.01,737.36,729.99,98.65,394.6,335.39,,0,729.99,0,729.99,-0.0,0,-4,-394.6,,BM,0
TXN-01445,2026-02-02,SALE,INV-2602-1445,Rongai Home & Agro Supplies,Kiserian,Phone Order,Contractor,CUS-1143,,Agro Inputs,CAN Fertilizer 50kg,6,5436.96,0.0572,32621.76,30755.8,4076.18,24457.08,6298.72,,0,30755.8,0,30755.8,-0.0,0,-6,-24457.08,,DK,0
TXN-01056,2025-10-21,SALE,INV-2510-1056,Rongai Home & Agro Supplies,Ongata Rongai,M-Pesa Till,Retail,CUS-1109,,Animal Feeds,Mineral Lick 2kg,4,628.59,0.03,2514.36,2438.93,383.52,1534.08,904.85,,0,2438.93,0,2438.93,-0.0,0,-4,-1534.08,,AM,0
TXN-00684,2025-07-12,SALE,INV-2507-0684,Rongai Home & Agro Supplies,Ongata Rongai,Walk-in,Farmer,CUS-1067,,Building Materials,2x2 Timber 12ft,1,511.05,0.05,511.05,485.5,376.26,376.26,109.24,,0,485.5,0,485.5,-0.0,0,-1,-376.26,,ER,0
TXN-02007,2026-07-10,PURCHASE,GRN-2607-2007,Rongai Home & Agro Supplies,Kiserian,Supplier,,,Rift Valley Cement Depot,Building Materials,Cement 50kg,3,704.09,0,0,0,704.09,2112.27,0,Purchase,0,2112.27,0.0,0,0,0,3,2112.27,,DK,0
TXN-00249,2025-03-13,SALE,INV-2503-0249,Rongai Home & Agro Supplies,Kiserian,Walk-in,Retail,CUS-1083,,Paints,Paint Brush 4in,11,178.33,0,1961.63,1961.63,93.66,1030.26,931.37,,0,1961.63,0,1961.63,-0.0,0,-11,-1030.26,,DK,0
TXN-01362,2026-01-08,SALE,INV-2601-1362,Rongai Home & Agro Supplies,Kiserian,Walk-in,Institution,CUS-1150,,Electrical,LED Bulb 12W,6,271.07,0.0494,1626.42,1546.07,169.72,1018.32,527.75,,0,773.03,0,773.03,-773.04,0,-6,-1018.32,,DK,0
TXN-00282,2025-03-24,SALE,INV-2503-0282,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Retail,CUS-1121,,Building Materials,Cement 50kg,1,837.31,0.01,837.31,828.94,680.82,680.82,148.12,,0,828.94,0,828.94,-0.0,0,-1,-680.82,,DK,0
TXN-00622,2025-06-25,SALE,INV-2506-0622,Rongai Home & Agro Supplies,Kiserian,Walk-in,Retail,CUS-1131,,Plumbing,PVC Elbow 20mm,1,74.6,0.05,74.6,70.87,42.71,42.71,28.16,,0,70.87,0,70.87,-0.0,0,-1,-42.71,,DK,0
TXN-00433,2025-04-29,SALE,INV-2504-0433,Rongai Home & Agro Supplies,Ongata Rongai,Phone Order,Retail,CUS-1022,,Agro Inputs,DAP Fertilizer 50kg,1,6042.35,0.05,6042.35,5740.23,4205.19,4205.19,1535.04,,0,5740.23,0,5740.23,-0.0,0,-1,-4205.19,,BM,0
TXN-01992,2026-07-06,PURCHASE,GRN-2607-1992,Rongai Home & Agro Supplies,Ongata Rongai,Supplier,,,Rift Valley Cement Depot,Building Materials,Damp Proof Course 20m,19,954.92,0,0,0,954.92,18143.48,0,Purchase,0,18143.48,0.0,0,0,0,19,18143.48,,DK,0
TXN-01567,2026-03-09,SALE,INV-2603-1567,Rongai Home & Agro Supplies,Ongata Rongai,Phone Order,Retail,CUS-1064,,Electrical,LED Bulb 12W,1,302.18,0.03,302.18,293.11,168.85,168.85,124.26,,0,293.11,0,293.11,-0.0,0,-1,-168.85,,DK,0
TXN-01673,2026-04-04,EXPENSE,EXP-2604-1673,Rongai Home & Agro Supplies,Kiserian,Back Office,,,,,,0,0,0,0,0,0,0,0,Electricity,9034.73,0,9034.73,0,0,0,0,0,Bank Transfer,JK,0
TXN-00086,2025-01-24,SALE,INV-2501-0086,Rongai Home & Agro Supplies,Kiserian,Phone Order,Retail,CUS-1032,,Plumbing,20mm PVC Pipe 6m,3,829.78,0.08,2489.34,2290.19,591.69,1775.07,515.12,,0,2290.19,0,2290.19,-0.0,0,-3,-1775.07,,ER,0
TXN-00926,2025-09-17,SALE,INV-2509-0926,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Institution,CUS-1011,,Electrical,LED Bulb 12W,7,281.07,0.0501,1967.49,1868.92,156.91,1098.37,770.55,,0,467.23,0,467.23,-1401.69,0,-7,-1098.37,,AM,0
TXN-01034,2025-10-15,PURCHASE,GRN-2510-1034,Rongai Home & Agro Supplies,Ongata Rongai,Supplier,,,Nairobi Electrical Mart,Building Materials,Cement 50kg,13,655.19,0,0,0,655.19,8517.47,0,Purchase,0,4258.73,4258.74,0,0,0,13,8517.47,,AM,0
TXN-00387,2025-04-18,SALE,INV-2504-0387,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Retail,CUS-1095,,Building Materials,Cement 50kg,4,764.13,0.05,3056.52,2903.69,643.2,2572.8,330.89,,0,2903.69,0,2903.69,-0.0,0,-4,-2572.8,,BM,0
TXN-02121,2026-08-13,SALE,INV-2608-2121,Rongai Home & Agro Supplies,Kiserian,Walk-in,Reseller,CUS-1018,,Electrical,Switch 1 Gang,10,274.18,0.0491,2741.8,2607.18,163.21,1632.1,975.08,,0,651.79,0,651.79,-1955.39,0,-10,-1632.1,,CN,0
TXN-01275,2025-12-17,PURCHASE,GRN-2512-1275,Rongai Home & Agro Supplies,Ongata Rongai,Supplier,,,Nairobi Electrical Mart,Agro Inputs,Foliar Feed 1L,6,581.06,0,0,0,581.06,3486.36,0,Purchase,0,3486.36,0.0,0,0,0,6,3486.36,,ER,0
TXN-01902,2026-06-09,SALE,INV-2606-1902,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Contractor,CUS-1045,,Hardware,Hammer 16oz,8,810.96,0.0861,6487.68,5929.09,581.32,4650.56,1278.53,,0,0.0,0,0.0,-5929.09,0,-8,-4650.56,,BM,0
TXN-01726,2026-04-17,PURCHASE,GRN-2604-1726,Rongai Home & Agro Supplies,Ongata Rongai,Supplier,,,Mara Distributors,Agro Inputs,Maize Seed 2kg,12,494.51,0,0,0,494.51,5934.12,0,Purchase,0,2967.06,2967.06,0,0,0,12,5934.12,,ER,0
TXN-00819,2025-08-20,SALE,INV-2508-0819,Rongai Home & Agro Supplies,Ongata Rongai,WhatsApp,Contractor,CUS-1134,,Plumbing,25mm PVC Pipe 6m,14,1024.41,0.0487,14341.74,13643.3,791.03,11074.42,2568.88,,0,13643.3,0,13643.3,-0.0,0,-14,-11074.42,,JK,0
TXN-01208,2025-12-01,PURCHASE,GRN-2512-1208,Rongai Home & Agro Supplies,Kiserian,Supplier,,,AgroLink Kenya,Building Materials,Cement 50kg,63,621.68,0,0,0,621.68,39165.84,0,Purchase,0,13708.04,25457.8,0,0,0,63,39165.84,,DK,0
TXN-01256,2025-12-13,SALE,INV-2512-1256,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Reseller,CUS-1006,,Hardware,Hammer 16oz,11,840.63,0.0734,9246.93,8568.21,505.81,5563.91,3004.3,,0,3427.28,0,3427.28,-5140.93,0,-11,-5563.91,,BM,0
TXN-01860,2026-05-28,SALE,INV-2605-1860,Rongai Home & Agro Supplies,Kiserian,Phone Order,Farmer,CUS-1106,,Hardware,Hammer 16oz,1,825.02,0.03,825.02,800.27,585.2,585.2,215.07,,0,800.27,0,800.27,-0.0,0,-1,-585.2,,BM,0
TXN-01457,2026-02-05,SALE,INV-2602-1457,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Farmer,CUS-1073,,Paints,Paint Brush 4in,6,189.76,0,1138.56,1138.56,99.45,596.7,541.86,,0,1138.56,0,1138.56,-0.0,0,-6,-596.7,,ER,0
TXN-00858,2025-08-30,SALE,INV-2508-0858,Rongai Home & Agro Supplies,Ongata Rongai,Phone Order,Retail,CUS-1167,,Plumbing,PVC Elbow 20mm,5,79.15,0,395.75,395.75,43.59,217.95,177.8,,0,395.75,0,395.75,-0.0,0,-5,-217.95,,BM,0
TXN-00262,2025-03-17,SALE,INV-2503-0262,Rongai Home & Agro Supplies,Ongata Rongai,Phone Order,Retail,CUS-1140,,Plumbing,PVC Elbow 20mm,1,77.01,0.08,77.01,70.85,42.53,42.53,28.32,,0,70.85,0,70.85,-0.0,0,-1,-42.53,,AM,0
TXN-00528,2025-05-28,SALE,INV-2505-0528,Rongai Home & Agro Supplies,Ongata Rongai,Phone Order,Reseller,CUS-1123,,Hardware,Hammer 16oz,12,914.94,0.0768,10979.28,10136.07,498.12,5977.44,4158.63,,0,0.0,0,0.0,-10136.07,0,-12,-5977.44,,JK,0
TXN-01866,2026-05-29,EXPENSE,EXP-2605-1866,Rongai Home & Agro Supplies,Kiserian,Back Office,,,,,,0,0,0,0,0,0,0,0,Repairs,18357.65,0,18357.65,0,0,0,0,0,Bank Transfer,JK,0
TXN-00526,2025-05-27,SALE,INV-2505-0526,Rongai Home & Agro Supplies,Kiserian,Walk-in,Contractor,CUS-1001,,Agro Inputs,Foliar Feed 1L,4,993.13,0.0496,3972.52,3775.48,596.09,2384.36,1391.12,,0,1887.74,0,1887.74,-1887.74,0,-4,-2384.36,,CN,0
TXN-00320,2025-04-02,SALE,INV-2504-0320,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Retail,CUS-1087,,Plumbing,PVC Tee 20mm,5,88.11,0.01,440.55,436.14,47.72,238.6,197.54,,0,436.14,0,436.14,-0.0,0,-5,-238.6,,CN,0
TXN-01219,2025-12-04,SALE,INV-2512-1219,Rongai Home & Agro Supplies,Ongata Rongai,WhatsApp,Institution,CUS-1110,,Plumbing,PVC Elbow 20mm,8,73.48,0.0273,587.84,571.79,42.79,342.32,229.47,,0,571.79,0,571.79,-0.0,0,-8,-342.32,,DK,0
TXN-01007,2025-10-08,PURCHASE,GRN-2510-1007,Rongai Home & Agro Supplies,Ongata Rongai,Supplier,,,Eastlands Hardware Wholesalers,Electrical,LED Bulb 12W,4,147.56,0,0,0,147.56,590.24,0,Purchase,0,295.12,295.12,0,0,0,4,590.24,,CN,0
TXN-01028,2025-10-14,SALE,INV-2510-1028,Rongai Home & Agro Supplies,Ongata Rongai,M-Pesa Till,Retail,CUS-1133,,Paints,Paint Brush 4in,3,172.23,0.03,516.69,501.19,93.36,280.08,221.11,,0,501.19,0,501.19,-0.0,0,-3,-280.08,,JK,0
TXN-00834,2025-08-22,PURCHASE,GRN-2508-0834,Rongai Home & Agro Supplies,Ongata Rongai,Supplier,,,Nairobi Electrical Mart,Building Materials,Galvanized Roofing Sheet 3m,9,860.77,0,0,0,860.77,7746.93,0,Purchase,0,0.0,7746.93,0,0,0,9,7746.93,,ER,0
TXN-00911,2025-09-13,SALE,INV-2509-0911,Rongai Home & Agro Supplies,Ongata Rongai,M-Pesa Till,Farmer,CUS-1143,,Plumbing,PVC Elbow 20mm,2,75.71,0.03,151.42,146.88,43.58,87.16,59.72,,0,146.88,0,146.88,-0.0,0,-2,-87.16,,AM,0
TXN-00782,2025-08-09,SALE,INV-2508-0782,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Retail,CUS-1071,,Plumbing,PVC Elbow 20mm,3,80.73,0,242.19,242.19,43.45,130.35,111.84,,0,242.19,0,242.19,-0.0,0,-3,-130.35,,AM,0
TXN-02211,2025-05-12,SUPPLIER_PAYMENT,SP-2505-2211,Rongai Home & Agro Supplies,Kiserian,Supplier,,,Nairobi Electrical Mart,,,0,0,0,0,0,0,0,0,Supplier Payment,0,0,61878.0,0,0,0,0,0,Bank Transfer,ER,0
TXN-00838,2025-08-24,SALE,INV-2508-0838,Rongai Home & Agro Supplies,Ongata Rongai,M-Pesa Till,Institution,CUS-1078,,Plumbing,PVC Elbow 20mm,8,80.73,0.075,645.84,597.4,43.82,350.56,246.84,,0,298.7,0,298.7,-298.7,0,-8,-350.56,,JK,0
TXN-01210,2025-12-02,SALE,INV-2512-1210,Rongai Home & Agro Supplies,Kiserian,WhatsApp,Retail,CUS-1179,,Building Materials,Cement 50kg,1,763.35,0.08,763.35,702.28,659.18,659.18,43.1,,0,702.28,0,702.28,-0.0,0,-1,-659.18,,ER,0
TXN-00988,2025-10-03,SALE,INV-2510-0988,Rongai Home & Agro Supplies,Ongata Rongai,M-Pesa Till,Farmer,CUS-1034,,Plumbing,PVC Elbow 20mm,2,73.05,0,146.1,146.1,44.33,88.66,57.44,,0,146.1,0,146.1,-0.0,0,-2,-88.66,,CN,0
TXN-00495,2025-05-16,SALE,INV-2505-0495,Rongai Home & Agro Supplies,Kiserian,M-Pesa Till,Retail,CUS-1116,,Plumbing,PVC Elbow 20mm,5,74.55,0.08,372.75,342.93,43.27,216.35,126.58,,0,342.93,0,342.93,-0.0,0,-5,-216.35,,JK,0
TXN-00853,2025-08-28,EXPENSE,EXP-2508-0853,Rongai Home & Agro Supplies,Kiserian,Back Office,,,,,,0,0,0,0,0,0,0,0,Electricity,12465,0,12465,0,0,0,0,0,Cash,JK,0
TXN-00426,2025-04-27,EXPENSE,EXP-2504-0426,Rongai Home & Agro Supplies,Kiserian,Back Office,,,,,,0,0,0,0,0,0,0,0,Rent,52000,0,52000,0,0,0,0,0,M-PESA,ER,0
